Brand,Model,Features,Price,Customer Feedback,Sales Date,Sales Unit,Revenue
Whirlpool,Model G,"Adjustable Shelves, Water Dispenser",1704.55,5,2021-08-28,6,10227.3
Samsung,Model D,"Frost-Free, Smart Cooling, Water Dispenser, Adjustable Shelves, Ice Maker",783.62,5,2021-08-29,8,6268.96
Bosch,Model H,"Energy Efficient, Smart Cooling, Frost-Free",640.97,1,2021-08-30,10,6409.700000000001
Electrolux,Model H,"Water Dispenser, Adjustable Shelves, Ice Maker, Energy Efficient",550.48,2,2021-08-31,2,1100.96
Frigidaire,Model A,"Adjustable Shelves, Smart Cooling, Water Dispenser",1300.15,3,2021-09-01,1,1300.15
Samsung,Model B,"Frost-Free, Energy Efficient, Water Dispenser, Adjustable Shelves, Smart Cooling",1464.77,5,2021-09-02,5,7323.85
Bosch,Model F,"Ice Maker, Smart Cooling, Energy Efficient",1320.0,1,2021-09-03,4,5280.0
LG,Model E,"Ice Maker, Frost-Free, Smart Cooling, Energy Efficient, Adjustable Shelves",1459.26,5,2021-09-04,1,1459.26
Electrolux,Model A,"Adjustable Shelves, Smart Cooling",1056.25,4,2021-09-05,10,10562.5
Frigidaire,Model H,"Adjustable Shelves, Energy Efficient, Water Dispenser, Ice Maker, Frost-Free",1636.42,2,2021-09-06,7,11454.94
Bosch,Model F,"Adjustable Shelves, Frost-Free, Energy Efficient, Ice Maker",828.1,3,2021-09-07,4,3312.4
Frigidaire,Model E,"Ice Maker, Water Dispenser, Energy Efficient, Frost-Free, Adjustable Shelves, Smart Cooling",661.09,4,2021-09-08,9,5949.81
GE Appliances,Model F,"Smart Cooling, Energy Efficient, Adjustable Shelves, Ice Maker, Frost-Free, Water Dispenser",1535.52,4,2021-09-09,4,6142.08
Frigidaire,Model H,Water Dispenser,1703.52,1,2021-09-10,4,6814.08
LG,Model D,"Water Dispenser, Frost-Free, Energy Efficient",850.54,3,2021-09-11,3,2551.62
Haier,Model C,"Ice Maker, Water Dispenser, Adjustable Shelves, Frost-Free, Energy Efficient",920.85,5,2021-09-12,10,9208.5
Electrolux,Model C,"Energy Efficient, Adjustable Shelves",1366.97,2,2021-09-13,4,5467.88
Samsung,Model F,"Smart Cooling, Energy Efficient, Ice Maker, Water Dispenser, Adjustable Shelves, Frost-Free",819.11,1,2021-09-14,3,2457.33
Samsung,Model B,"Smart Cooling, Frost-Free, Energy Efficient",1716.33,1,2021-09-15,2,3432.66
Haier,Model H,"Frost-Free, Energy Efficient, Smart Cooling, Ice Maker",1489.07,3,2021-09-16,3,4467.21
Bosch,Model D,"Energy Efficient, Frost-Free",1801.67,3,2021-09-17,6,10810.02
Bosch,Model D,"Energy Efficient, Frost-Free, Smart Cooling, Adjustable Shelves, Water Dispenser, Ice Maker",1399.66,4,2021-09-18,6,8397.960000000001
Haier,Model E,"Smart Cooling, Frost-Free",1530.6,5,2021-09-19,4,6122.4
Electrolux,Model F,Energy Efficient,1805.14,5,2021-09-20,9,16246.26
LG,Model H,"Ice Maker, Energy Efficient",1431.73,4,2021-09-21,6,8590.380000000001
Whirlpool,Model H,"Water Dispenser, Smart Cooling, Frost-Free, Energy Efficient, Ice Maker, Adjustable Shelves",1133.83,1,2021-09-22,5,5669.15
Frigidaire,Model A,"Frost-Free, Smart Cooling, Adjustable Shelves, Ice Maker, Water Dispenser",846.67,3,2021-09-23,7,5926.69
Whirlpool,Model G,"Ice Maker, Adjustable Shelves, Water Dispenser, Smart Cooling, Energy Efficient",1110.68,1,2021-09-24,3,3332.04
Frigidaire,Model F,Water Dispenser,1913.91,4,2021-09-25,10,19139.100000000002
Frigidaire,Model A,"Smart Cooling, Ice Maker, Energy Efficient, Frost-Free, Water Dispenser, Adjustable Shelves",1391.08,5,2021-09-26,9,12519.72
Whirlpool,Model E,"Adjustable Shelves, Frost-Free, Energy Efficient, Water Dispenser, Ice Maker, Smart Cooling",576.14,5,2021-09-27,7,4032.98
Samsung,Model B,"Smart Cooling, Ice Maker, Energy Efficient, Frost-Free, Water Dispenser",1241.3,4,2021-09-28,4,4965.2
Whirlpool,Model C,"Frost-Free, Smart Cooling, Energy Efficient, Water Dispenser, Adjustable Shelves",1507.47,3,2021-09-29,3,4522.41
Bosch,Model G,"Frost-Free, Smart Cooling, Ice Maker, Energy Efficient",1567.47,2,2021-09-30,4,6269.88
Whirlpool,Model D,Frost-Free,622.56,1,2021-10-01,9,5603.039999999999
Electrolux,Model C,"Water Dispenser, Adjustable Shelves",1609.4,2,2021-10-02,8,12875.2
LG,Model C,Adjustable Shelves,514.54,2,2021-10-03,4,2058.16
Electrolux,Model A,"Water Dispenser, Energy Efficient, Frost-Free, Ice Maker, Smart Cooling",1732.29,4,2021-10-04,3,5196.87
LG,Model D,"Smart Cooling, Frost-Free, Adjustable Shelves, Ice Maker, Water Dispenser, Energy Efficient",1194.83,5,2021-10-05,5,5974.15
LG,Model G,"Ice Maker, Adjustable Shelves, Smart Cooling",682.95,5,2021-10-06,3,2048.8500000000004
Haier,Model C,"Water Dispenser, Frost-Free",1848.09,4,2021-10-07,7,12936.63
Bosch,Model F,"Smart Cooling, Ice Maker, Water Dispenser, Adjustable Shelves, Energy Efficient, Frost-Free",851.66,4,2021-10-08,3,2554.98
GE Appliances,Model E,"Smart Cooling, Adjustable Shelves, Ice Maker, Energy Efficient",706.14,5,2021-10-09,3,2118.42
Frigidaire,Model B,"Energy Efficient, Water Dispenser, Frost-Free",847.47,2,2021-10-10,1,847.47
Electrolux,Model H,Frost-Free,961.61,1,2021-10-11,10,9616.1
Whirlpool,Model H,"Frost-Free, Energy Efficient, Adjustable Shelves, Ice Maker, Smart Cooling, Water Dispenser",1282.06,3,2021-10-12,10,12820.599999999999
GE Appliances,Model F,"Water Dispenser, Smart Cooling, Adjustable Shelves, Energy Efficient",1485.07,1,2021-10-13,6,8910.42
Electrolux,Model D,"Ice Maker, Energy Efficient",1553.22,3,2021-10-14,10,15532.2
Frigidaire,Model D,"Smart Cooling, Ice Maker, Energy Efficient, Water Dispenser, Frost-Free, Adjustable Shelves",1844.73,2,2021-10-15,9,16602.57
Samsung,Model G,"Water Dispenser, Smart Cooling, Adjustable Shelves, Energy Efficient, Ice Maker",1299.92,4,2021-10-16,3,3899.76
Electrolux,Model E,"Frost-Free, Ice Maker, Adjustable Shelves",1875.11,2,2021-10-17,1,1875.11
Haier,Model D,"Frost-Free, Energy Efficient, Water Dispenser, Adjustable Shelves, Ice Maker",1268.49,1,2021-10-18,4,5073.96
Frigidaire,Model D,Energy Efficient,847.48,3,2021-10-19,1,847.48
Samsung,Model E,"Adjustable Shelves, Smart Cooling, Ice Maker, Energy Efficient",1259.46,4,2021-10-20,8,10075.68
GE Appliances,Model F,"Energy Efficient, Adjustable Shelves, Ice Maker, Water Dispenser, Frost-Free",766.18,4,2021-10-21,3,2298.54
Haier,Model A,"Frost-Free, Adjustable Shelves, Smart Cooling, Water Dispenser",1341.13,4,2021-10-22,3,4023.3900000000003
Samsung,Model F,"Frost-Free, Energy Efficient, Ice Maker",1709.13,1,2021-10-23,1,1709.13
Bosch,Model E,"Water Dispenser, Energy Efficient, Smart Cooling",1495.81,1,2021-10-24,2,2991.62
GE Appliances,Model B,"Water Dispenser, Ice Maker, Smart Cooling, Energy Efficient, Adjustable Shelves",1396.9,1,2021-10-25,7,9778.300000000001
Samsung,Model G,"Smart Cooling, Energy Efficient, Frost-Free, Adjustable Shelves, Water Dispenser, Ice Maker",940.77,5,2021-10-26,5,4703.85
Haier,Model E,"Water Dispenser, Adjustable Shelves, Energy Efficient",582.66,1,2021-10-27,4,2330.64
